type,country,2012/01,2012/02,2012/03,2012/04,2012/05,2012/06,2012/07,2012/08,2012/09,2012/10,2012/11,2012/12,2013/01,2013/02,2013/03,2013/04,2013/05,2013/06,2013/07,2013/08,2013/09,2013/10,2013/11,2013/12,2014/01,2014/02,2014/03,2014/04,2014/05,2014/06,2014/07,2014/08,2014/09,2014/10,2014/11,2014/12,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10
佳樂水,屏東縣,23130,12348,7851,13659,13244,11419,22364,14583,1614,23319,9414,10308,7491,24942,11958,16153,13660,17660,23259,22773,8882,33254,14573,12294,9959,24205,16490,18971,21804,20156,29600,27571,15818,23287,15437,11728,13203,27989,16219,17085,14772,17062,25633,23949,17819,25645,21250,16110,16034,29999,15517,18536,19172,15640,27831,22255,5793,0,0,0,18452,18399,10360,16080,15298,11203,18060,15081,9842,14733,10357,9914,6779,16057,18150,28510,10911,7844,14541,10661,8355,12020,8418,13460,10191,16637,11837,12613,11532,10852,15128,12535,12023,15263,12107,11369,2247,8724,5734,5016,5306,11033,13125,13196,9337,17880,12884,11926,9170,13700,11247,12509,6651,0,1006,6876,7032,12984
社頂自然公園,屏東縣,35168,29869,50254,55719,60217,40673,51299,50439,34357,53778,50352,54440,33098,46373,46200,63595,48090,41165,53738,51423,39141,52263,45765,22690,36578,54908,57186,74713,58036,54059,67610,59262,43121,67323,57934,63802,42458,62101,44534,54559,56427,49240,61425,56587,42787,65268,56156,55531,36379,26597,17301,19205,19844,16959,20089,14531,9121,24188,19743,21912,21161,19386,16689,19756,18686,11262,14596,13980,11498,19467,16155,14582,6595,8784,8505,10125,8198,5266,6361,3926,5912,10765,8396,10875,8637,9482,8577,8130,7383,7062,5704,4021,7892,13373,9589,9225,7171,6764,5248,4303,3722,5556,6413,5507,8382,13362,11788,7998,8366,11664,11070,11516,5484,188,1124,4272,5983,12867
南灣遊憩區,屏東縣,14273,11435,12042,12037,28331,33942,66187,38282,25641,25301,13860,12343,12128,26542,22932,28384,33242,48756,56483,38306,27368,20686,15398,12064,17615,18227,22030,56892,42596,42665,40212,30472,27460,47494,21586,20434,21337,34736,33992,58002,62273,54157,67876,73247,40503,22643,12792,30290,31223,63653,55061,57905,66992,56717,70897,55393,27892,33232,32134,38137,36100,32790,25482,50710,51644,43851,59860,59209,38263,47438,37167,7609,28186,27441,27639,42556,33018,28696,42398,35877,25017,18975,21335,25713,25673,38780,41976,48566,50195,61229,50184,42026,20354,23802,15840,12979,14057,7044,7636,8766,12358,32364,37553,36275,39099,45221,22872,14344,14305,33493,24784,42865,21597,0,1434,27437,38825,46920
龍鑾潭自然中心,屏東縣,9461,5519,5002,8260,8258,7796,8824,5449,7433,10356,10464,8102,6667,8643,7484,10949,7902,7050,7603,7051,6752,13113,10663,8318,6293,7821,8372,7425,8338,7776,8485,6550,5137,9063,6924,7069,5930,6958,7157,7582,6387,6815,7082,5479,5235,8440,10918,8510,7188,5738,3216,6155,4548,3168,4262,3083,2112,3159,1839,367,2248,5295,4010,5237,4892,3113,3343,4058,4787,4235,3912,4136,5742,5904,6528,6926,4685,4422,3761,3336,4261,5574,4270,8281,8262,6123,4991,6083,5802,7413,7044,13463,8852,9758,9276,8500,7392,5500,3506,1740,2381,3553,4349,5414,4846,10214,7983,6848,7563,5694,5627,7661,1954,0,310,2322,2352,5224
砂島貝殼砂展示館,屏東縣,11011,5899,7080,14045,11460,11220,15020,14302,11618,12745,8285,10100,9040,12915,10575,18436,14320,12900,19940,13197,10520,11956,8635,9755,12891,13240,13020,15545,15535,13660,15013,14331,9740,13166,11032,9577,9570,15070,9517,4446,13419,13406,13638,12546,10609,13454,10234,10158,8741,14347,9309,14441,10643,10403,11626,7541,4679,11037,9926,9537,15573,18238,8458,12542,11449,10225,11762,12261,8155,11963,7900,9570,9606,23171,8626,12009,10952,10490,14230,13275,12720,17315,12325,16130,15993,28939,16539,15485,13553,15970,18322,13463,8003,10444,9447,11011,11665,8368,5781,2579,3507,8326,13007,8060,7456,10598,7970,8565,6769,9431,6592,9296,3673,0,325,2540,2335,2590
太魯閣國家公園遊客中心,花蓮縣,38084,49818,50077,65072,49089,69406,97675,125203,76801,99535,117139,97284,62312,91263,67773,102049,233008,218032,208832,168460,139764,179035,139871,156056,119542,168130,155227,171836,189870,188885,260278,292543,155390,198159,161135,223757,154073,187397,173096,223327,220039,218728,256567,306501,189636,262126,227656,191136,215941,208608,186926,188726,168588,115177,135822,118808,66101,114525,99767,81806,75893,89029,69708,96743,88599,81677,111580,124540,69769,119648,99650,83365,66469,45114,49641,74514,66291,69121,85304,96049,61888,69611,75196,82510,59884,60050,71186,72956,84561,85380,100387,88777,53252,68274,66831,55304,50485,46152,22399,18954,28692,44438,69265,70246,46222,52790,51567,28214,30895,28888,21148,29099,9855,0,4443,19052,19058,23810
布洛灣遊憩區,花蓮縣,49002,47216,37872,54038,42751,42106,71392,38338,42918,47875,46417,37951,30563,57860,40306,46412,7698,8095,18321,32203,24482,25700,34686,49005,39204,27403,34782,43516,44482,65955,62924,35451,79807,99344,74386,62832,52048,52264,38681,57054,54973,57309,57058,43550,39785,34972,34763,36073,35153,48895,52226,42967,37837,23003,29886,30973,14795,18677,15642,16503,16347,17056,16111,20379,20190,14948,23325,33563,21388,26632,23327,19557,17709,8341,13140,16475,16315,22856,23519,28010,13976,21978,20223,20204,19830,18613,16557,14008,15667,20385,18991,13998,13677,20581,19074,14624,15951,11153,9817,7122,7812,10316,17740,27531,34097,40412,37033,28741,37478,38790,39779,39584,17430,254,5167,10557,13227,20859
臺八線沿線景觀區,花蓮縣,257658,227447,264916,328684,310066,230021,294889,157572,217592,301852,385195,361965,263263,295700,306227,333086,135639,138866,201261,225261,148735,176266,189017,221375,220707,315295,274711,291781,268849,264552,298385,286803,278251,313098,266657,245690,265621,324985,250681,267474,340904,269595,342767,291653,259534,309004,271696,243259,237546,304800,274227,232256,230903,177917,256774,199070,101456,132316,137860,152373,301188,334827,247116,295903,342404,167250,325457,353779,229861,238784,223636,230068,193605,132130,129927,211046,221065,262122,394427,408119,248751,297595,289202,316288,254761,393364,273656,286547,254628,305073,425932,312656,284380,382088,307581,275094,292375,318014,183311,176449,193196,301021,388840,383170,260313,279451,239928,185834,184221,260498,176826,259986,162439,22824,68445,119819,164020,153988
中山林遊客中心,金門縣,6761,6724,10335,13070,14359,14359,21490,15499,11421,13293,10023,8238,6050,7470,7581,12419,13502,13850,17729,7993,12372,13531,11192,8508,4602,6933,8306,11553,11375,11763,15988,11278,9223,9802,7513,7063,6779,7541,7006,7182,9669,8952,10349,9326,7848,9434,8715,7112,7737,6658,8418,11660,12328,10936,4368,3790,9384,4597,4142,3760,3616,3930,4595,12542,13156,12490,15210,13155,10218,12517,11689,10129,10576,10594,13122,12930,13441,12129,14024,13812,12075,11674,10530,11810,10849,9406,11836,13041,15212,13868,14052,12484,10829,13109,13420,13004,8988,3397,1605,909,1102,4391,7498,7778,5452,5909,4070,2705,2313,2049,2247,2869,1624,0,38,400,858,1586
翟山坑道,金門縣,17774,18470,34199,50537,46596,37034,49735,38635,29552,45085,36941,26445,15021,18045,23843,36589,32130,38113,41179,38467,31818,36202,35983,26087,15086,21804,32930,39664,45551,44221,55596,40608,33107,42405,38944,31037,29378,28817,29896,45673,48845,42766,51906,49819,40186,52588,53539,44152,31820,30137,37926,42346,54331,47854,47330,40126,22956,36133,39987,32157,28729,25420,32317,43316,47484,42894,50717,47750,32756,54848,44500,33712,25779,26746,37485,50047,50867,48280,55786,59556,40764,53449,43304,48084,30546,32868,43605,46609,58770,53041,56656,45779,30788,46869,44988,33311,16779,5030,3351,1836,6157,21402,45364,57693,49175,51366,29918,22059,19949,15142,25192,31365,19215,0,127,2000,5106,13026
雙鯉溼地自然中心,金門縣,11135,10221,14807,19710,22814,23407,27285,20369,15966,20930,20756,13601,8143,11483,10853,16789,21148,24923,25661,22217,18504,14173,5154,13751,8016,11225,17846,21447,24120,24682,30444,21327,15242,21653,15809,11455,11641,12670,12282,15892,20017,18942,21388,19991,16520,22050,17536,12717,10375,10266,13268,16158,22924,23346,25547,21746,14459,21967,17500,13235,10386,8752,10956,15724,19493,16266,19257,17594,11531,16864,12773,10231,6193,6974,9812,13403,15588,14748,16469,14501,11500,15546,10585,10113,7381,7668,11105,12623,18878,17330,15717,11487,13449,12040,0,0,5640,1988,1097,829,2129,6658,14440,16646,13318,13872,8045,4255,3233,2538,3407,5227,3388,0,8,389,689,1859
古寧頭戰史館,金門縣,13132,11486,13377,15945,20744,20145,28036,19053,16257,21420,17123,14997,8485,10456,11577,15635,20982,24272,26417,23035,20444,24478,18244,12251,7453,12064,15984,17592,24441,26418,30323,23807,17638,23416,17246,12066,13008,13068,11595,14064,20004,19412,23303,19870,18526,26830,19047,13744,11169,15107,13790,17313,26106,27712,31368,25833,11463,29411,21115,15428,13904,13471,14772,20306,23345,19471,21541,21336,15463,23195,18493,14240,9172,9695,15947,19961,22518,22876,25681,23927,18597,23145,15851,14804,12065,12837,15821,16654,23078,22205,22083,16205,22215,29026,24471,19415,9711,3382,2074,1107,3728,13737,25958,31860,25869,31119,17539,12089,9902,7296,11669,16280,9606,0,29,982,2153,5935
九宮(四維)坑道,金門縣,6573,3625,6908,10529,12346,13663,15983,13057,10966,13055,8281,5677,3037,5795,4833,6445,12072,14013,15258,11884,12434,12907,9762,5407,3316,5689,8803,9217,12132,14319,19024,12756,9666,13300,9474,5940,6589,5691,5435,7571,10995,9593,12742,9749,9288,13824,9915,6270,5827,7338,7032,9317,15891,17040,18821,12060,9693,13636,8952,8054,6530,6327,7855,11576,16241,14058,17353,14919,10104,13708,9027,6284,3915,4176,8137,12538,14917,13905,17636,14533,11055,14136,9920,8214,5241,5153,9952,10975,16232,17987,15498,9962,15860,24413,19631,15430,5846,2467,1419,741,1536,9639,23529,29239,28584,34569,17687,16430,8119,7668,10606,15782,9972,0,11,590,1793,4031
八二三砲戰紀念館,金門縣,10169,6589,9375,11941,16970,15691,21600,17227,11865,13966,11567,9182,6080,9864,8008,10752,15390,16648,18835,16316,14175,15653,11830,8251,5791,8457,11309,12138,16887,18703,22898,17064,11842,14429,10675,7558,9385,7853,7383,9650,13487,12381,15356,12235,10935,15894,10982,8807,7901,8543,9563,12083,17466,17466,18422,14812,11923,17664,12242,9255,7505,8011,9636,13016,15600,15258,18568,17035,12117,18427,12949,8941,6496,7183,12731,15144,15503,14364,17852,16257,11803,17941,12294,12575,9278,8895,11922,12743,17428,16453,15218,11362,15422,25210,19718,17904,7953,3036,2446,904,2839,9785,18123,24858,21232,23104,13516,8473,7238,5557,7677,9281,5690,0,48,726,1516,3491
湖井頭戰史館,金門縣,6858,4692,8219,10852,14219,14106,17148,14088,11245,13729,9323,6373,3291,6137,5202,9076,12773,14409,16005,12473,12276,13166,9725,6010,2998,5894,9357,9784,13822,15917,18083,12724,9856,12250,9033,5961,6713,5935,6318,8103,11385,11528,14418,11230,10267,16010,10561,7601,6095,7892,8454,9421,16992,16753,19084,13251,9878,15934,11102,8966,7705,7499,8847,12881,17690,15552,19043,15906,8853,16011,12117,7444,4750,4977,9432,13879,15806,14531,18510,15557,12619,15659,10693,9384,5774,6179,10934,11491,16674,17808,16077,10069,16500,25538,20765,16214,6291,2504,1495,831,2531,10426,24428,30882,30482,36059,18030,11943,8300,8064,11004,17083,10747,0,0,0,0,3299
金水學校,金門縣,9342,9552,14592,16860,18217,16339,23210,17392,14363,21359,18118,14789,9314,11811,13589,18722,18811,18106,21850,20833,15873,18702,21370,11731,7635,9602,14814,20071,20612,19418,24988,19607,13470,23332,19800,15873,13426,12877,13165,18466,22082,20030,21001,21886,10132,20789,19439,15633,12854,12485,13706,16272,22639,19537,22793,20973,16018,22776,19818,17032,19048,15752,18667,18835,22777,19553,24318,22296,14506,26124,25037,21290,12497,13048,14963,23015,23719,20631,25558,27571,21753,27772,22151,22168,15526,15262,11219,11262,14460,14476,13604,10504,9241,12757,10721,7562,5521,2351,1556,1012,2298,5393,9444,10744,8936,12592,8869,5645,6236,5029,6401,7236,4659,0,46,766,1718,4611
蔣經國先生紀念館,金門縣,8641,8804,18566,22364,24564,18770,23083,17964,14556,21730,18388,14450,7680,9642,13898,20129,21619,18761,18833,17542,16437,20094,19612,13146,6903,9985,15045,20618,21457,18710,20886,15180,12601,17285,14227,13181,11379,10676,13582,22314,22559,18229,20659,22939,18987,25296,26124,22468,19263,13187,24939,23574,26248,22293,20541,21009,11380,22458,20907,17680,14679,11270,19488,18524,21107,16750,18079,16602,13319,23137,23931,18528,11108,11531,18203,20960,20089,17598,19062,20226,15306,20831,20410,22539,17775,16493,25493,24341,30926,21256,20626,19766,10431,15655,14751,13786,6007,2891,2354,634,937,4010,8487,9781,8692,9620,6513,4909,3631,2395,4887,5267,2722,0,15,241,556,1503
民俗文化村,金門縣,7604,5745,9113,10367,13885,13184,17713,14638,10939,13764,10982,7947,4591,8231,6339,10168,14312,14476,16144,14342,13133,15203,12738,7359,4317,7154,11670,12131,15995,15694,19985,12860,11270,15409,12247,9606,9876,12265,9281,13419,18102,15586,18769,16424,16214,23695,21212,17243,14140,15097,17021,21305,27353,24254,26567,23852,19507,27936,24576,21685,18377,16430,21823,24830,31724,27619,28860,30017,22221,31356,25966,21433,15024,16368,25085,30789,32237,30933,32132,31906,24156,32876,26277,26536,20958,18412,31091,28019,36163,33296,31012,25449,24656,40711,35435,30464,18856,6627,4012,2599,5250,17076,32909,42236,40039,45109,26934,20216,18346,14606,20184,26720,14724,0,0,0,0,0
冷水坑,臺北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24167,44003,46344,45917,37508,54834,59303,67573,46038,58419,74151,59243,43952,46861,58151,28272,35572,45194,58141,49737,37474,53017,49737,36609,45076,37350,36986,53933,23061,2714,7777,19289,25368,25641
擎天崗,臺北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35287,37730,34293,47182,40755,50246,52741,43875,51621,80294,78972,56932,64208,74443,32642,34083,37021,52060,45108,48245,28382,47421,48245,26239,40270,49435,37515,45944,22426,827,7735,22205,23454,23454
得月樓,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15506,13265,13551,13182,16939,17238,15189,12187,11923,14746,12535,8297,6568,2670,1850,1231,2751,6958,10063,12446,13059,18776,12194,7722,8239,7606,9613,11178,7179,0,44,983,2303,6308
